,precision,recall,f1-score,support
DonJayamanne,0.6449579831932774,0.8696883852691218,0.7406513872135102,353.0
IanMatthewHuff,0.0,0.0,0.0,3.0
Other,0.0,0.0,0.0,15.0
TylerLeonhardt,0.8095238095238095,0.5151515151515151,0.6296296296296297,33.0
Tyriar,0.6037735849056604,0.6274509803921569,0.6153846153846154,51.0
Yoyokrazy,0.0,0.0,0.0,10.0
aeschli,0.5714285714285714,0.3333333333333333,0.42105263157894735,24.0
aiday-mar,0.5,0.14285714285714285,0.2222222222222222,7.0
alexdima,0.0,0.0,0.0,3.0
alexr00,0.18181818181818182,0.18181818181818182,0.18181818181818182,11.0
amunger,0.6440677966101694,0.4367816091954023,0.5205479452054794,87.0
anthonykim1,0.6727272727272727,0.5068493150684932,0.578125,73.0
benibenj,0.4117647058823529,0.4117647058823529,0.4117647058823529,17.0
benvillalobos,0.5,0.25,0.3333333333333333,4.0
bhavyaus,0.0,0.0,0.0,9.0
bpasero,0.5217391304347826,0.5853658536585366,0.5517241379310345,41.0
brettcannon,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
bryanchen-d,0.16666666666666666,0.25,0.2,4.0
chrmarti,0.5128205128205128,0.625,0.5633802816901409,32.0
connor4312,0.3275862068965517,0.37254901960784315,0.3486238532110092,51.0
cwebster-99,0.0,0.0,0.0,3.0
dbaeumer,0.0,0.0,0.0,5.0
deepak1556,0.4230769230769231,0.55,0.4782608695652174,20.0
dileepyavan,0.5,0.5,0.5,2.0
dmitrivMS,0.0,0.0,0.0,5.0
eleanorjboyd,0.808,0.8145161290322581,0.8112449799196787,124.0
hediet,0.2222222222222222,0.16666666666666666,0.19047619047619047,12.0
isidorn,0.0,0.0,0.0,4.0
joaomoreno,0.0,0.0,0.0,4.0
joshspicer,0.2,0.125,0.15384615384615385,16.0
jrieken,0.6153846153846154,0.36363636363636365,0.45714285714285713,22.0
jruales,0.0,0.0,0.0,3.0
justschen,0.3548387096774194,0.4074074074074074,0.3793103448275862,27.0
karrtikr,0.5574712643678161,0.7185185185185186,0.627831715210356,135.0
karthiknadig,0.5227272727272727,0.5476190476190477,0.5348837209302325,126.0
kieferrm,1.0,1.0,1.0,2.0
kimadeline,0.3333333333333333,0.1,0.15384615384615385,10.0
kycutler,0.0,0.0,0.0,2.0
lramos15,0.39215686274509803,0.47619047619047616,0.43010752688172044,42.0
lszomoru,0.5,0.5,0.5,30.0
luabud,0.0,0.0,0.0,11.0
meganrogge,0.8095238095238095,0.723404255319149,0.7640449438202247,47.0
minsa110,0.6666666666666666,0.4,0.5,5.0
mjbvz,0.27586206896551724,0.34782608695652173,0.3076923076923077,23.0
mrleemurray,0.5,0.6666666666666666,0.5714285714285714,3.0
osortega,0.6363636363636364,0.4375,0.5185185185185185,16.0
paulacamargo25,0.09090909090909091,0.0625,0.07407407407407407,16.0
pwang347,0.75,0.42857142857142855,0.5454545454545454,7.0
rebornix,0.42857142857142855,0.11538461538461539,0.18181818181818182,52.0
roblourens,0.37777777777777777,0.3953488372093023,0.38636363636363635,86.0
rwoll,0.0,0.0,0.0,3.0
rzhao271,0.4,0.3333333333333333,0.36363636363636365,6.0
samvantran,0.0,0.0,0.0,3.0
sandy081,0.6470588235294118,0.5,0.5641025641025641,22.0
ulugbekna,0.1,0.14285714285714285,0.11764705882352941,7.0
vijayupadya,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
zhichli,0.0,0.0,0.0,3.0
accuracy,0.5574614065180102,0.5574614065180102,0.5574614065180102,0.5574614065180102
macro avg,0.36323909565893636,0.31831014438112615,0.32918109713706056,1749.0
weighted avg,0.5385508337855097,0.5574614065180102,0.5358597336506806,1749.0
