,precision,recall,f1-score,support
DonJayamanne,0.9820359281437125,0.9291784702549575,0.9548762736535662,353.0
IanMatthewHuff,1.0,1.0,1.0,3.0
Other,1.0,1.0,1.0,15.0
TylerLeonhardt,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0
Tyriar,1.0,0.9607843137254902,0.98,51.0
Yoyokrazy,0.6,0.9,0.72,10.0
aeschli,1.0,1.0,1.0,24.0
aiday-mar,1.0,1.0,1.0,7.0
alexdima,1.0,1.0,1.0,3.0
alexr00,0.8461538461538461,1.0,0.9166666666666666,11.0
amunger,0.9325842696629213,0.9540229885057471,0.9431818181818182,87.0
anthonykim1,0.9857142857142858,0.9452054794520548,0.965034965034965,73.0
benibenj,1.0,1.0,1.0,17.0
benvillalobos,1.0,1.0,1.0,4.0
bhavyaus,1.0,1.0,1.0,9.0
bpasero,0.9090909090909091,0.975609756097561,0.9411764705882353,41.0
brettcannon,1.0,1.0,1.0,11.0
bryanchen-d,1.0,1.0,1.0,4.0
chrmarti,0.8888888888888888,1.0,0.9411764705882353,32.0
connor4312,0.9795918367346939,0.9411764705882353,0.96,51.0
cwebster-99,1.0,1.0,1.0,3.0
dbaeumer,1.0,0.8,0.8888888888888888,5.0
deepak1556,1.0,1.0,1.0,20.0
dileepyavan,1.0,1.0,1.0,2.0
dmitrivMS,1.0,1.0,1.0,5.0
eleanorjboyd,0.9919354838709677,0.9919354838709677,0.9919354838709677,124.0
hediet,0.8571428571428571,1.0,0.9230769230769231,12.0
isidorn,1.0,1.0,1.0,4.0
joaomoreno,1.0,1.0,1.0,4.0
joshspicer,0.8823529411764706,0.9375,0.9090909090909091,16.0
jrieken,0.9565217391304348,1.0,0.9777777777777777,22.0
jruales,1.0,1.0,1.0,3.0
justschen,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
karrtikr,0.9635036496350365,0.9777777777777777,0.9705882352941176,135.0
karthiknadig,0.9603174603174603,0.9603174603174603,0.9603174603174603,126.0
kieferrm,1.0,1.0,1.0,2.0
kimadeline,1.0,1.0,1.0,10.0
kycutler,0.4,1.0,0.5714285714285714,2.0
lramos15,0.975609756097561,0.9523809523809523,0.963855421686747,42.0
lszomoru,1.0,0.9666666666666667,0.9830508474576272,30.0
luabud,0.9166666666666666,1.0,0.9565217391304348,11.0
meganrogge,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
minsa110,0.8333333333333334,1.0,0.9090909090909091,5.0
mjbvz,1.0,1.0,1.0,23.0
mrleemurray,1.0,1.0,1.0,3.0
osortega,0.9411764705882353,1.0,0.9696969696969697,16.0
paulacamargo25,0.9411764705882353,1.0,0.9696969696969697,16.0
pwang347,1.0,1.0,1.0,7.0
rebornix,0.92,0.8846153846153846,0.9019607843137255,52.0
roblourens,0.9764705882352941,0.9651162790697675,0.9707602339181286,86.0
rwoll,1.0,1.0,1.0,3.0
rzhao271,1.0,1.0,1.0,6.0
samvantran,0.75,1.0,0.8571428571428571,3.0
sandy081,1.0,1.0,1.0,22.0
ulugbekna,1.0,1.0,1.0,7.0
vijayupadya,1.0,1.0,1.0,6.0
zhichli,0.6,1.0,0.75,3.0
accuracy,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9622641509433962
macro avg,0.9456429950541589,0.9816433477234785,0.9589188944475214,1749.0
weighted avg,0.9658457772213691,0.9622641509433962,0.96314169943643,1749.0
