,precision,recall,f1-score,support
DonJayamanne,0.9705882352941176,0.7478753541076487,0.8448,353.0
IanMatthewHuff,0.0967741935483871,1.0,0.17647058823529413,3.0
Other,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
TylerLeonhardt,0.967741935483871,0.9090909090909091,0.9375,33.0
Tyriar,1.0,0.9607843137254902,0.98,51.0
Yoyokrazy,0.6666666666666666,0.8,0.7272727272727273,10.0
aeschli,0.8888888888888888,1.0,0.9411764705882353,24.0
aiday-mar,0.875,1.0,0.9333333333333333,7.0
alexdima,0.6,1.0,0.75,3.0
alexr00,0.7333333333333333,1.0,0.8461538461538461,11.0
amunger,0.826530612244898,0.9310344827586207,0.8756756756756757,87.0
anthonykim1,0.92,0.9452054794520548,0.9324324324324325,73.0
benibenj,0.9444444444444444,1.0,0.9714285714285714,17.0
benvillalobos,0.8,1.0,0.8888888888888888,4.0
bhavyaus,1.0,1.0,1.0,9.0
bpasero,0.78,0.9512195121951219,0.8571428571428571,41.0
brettcannon,0.9166666666666666,1.0,0.9565217391304348,11.0
bryanchen-d,1.0,0.75,0.8571428571428571,4.0
chrmarti,0.9142857142857143,1.0,0.9552238805970149,32.0
connor4312,0.9787234042553191,0.9019607843137255,0.9387755102040817,51.0
cwebster-99,1.0,1.0,1.0,3.0
dbaeumer,0.3076923076923077,0.8,0.4444444444444444,5.0
deepak1556,0.8333333333333334,1.0,0.9090909090909091,20.0
dileepyavan,1.0,0.5,0.6666666666666666,2.0
dmitrivMS,1.0,0.4,0.5714285714285714,5.0
eleanorjboyd,0.9663865546218487,0.9274193548387096,0.9465020576131687,124.0
hediet,0.8571428571428571,1.0,0.9230769230769231,12.0
isidorn,1.0,1.0,1.0,4.0
joaomoreno,0.0,0.0,0.0,4.0
joshspicer,0.9375,0.9375,0.9375,16.0
jrieken,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
jruales,1.0,0.3333333333333333,0.5,3.0
justschen,0.8064516129032258,0.9259259259259259,0.8620689655172413,27.0
karrtikr,0.8920863309352518,0.9185185185185185,0.9051094890510949,135.0
karthiknadig,0.8934426229508197,0.8650793650793651,0.8790322580645161,126.0
kieferrm,0.6666666666666666,1.0,0.8,2.0
kimadeline,0.8333333333333334,1.0,0.9090909090909091,10.0
kycutler,0.25,1.0,0.4,2.0
lramos15,0.9090909090909091,0.9523809523809523,0.9302325581395349,42.0
lszomoru,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
luabud,1.0,1.0,1.0,11.0
meganrogge,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
minsa110,1.0,1.0,1.0,5.0
mjbvz,1.0,0.9565217391304348,0.9777777777777777,23.0
mrleemurray,1.0,0.6666666666666666,0.8,3.0
osortega,0.7272727272727273,1.0,0.8421052631578947,16.0
paulacamargo25,0.6956521739130435,1.0,0.8205128205128205,16.0
pwang347,1.0,1.0,1.0,7.0
rebornix,0.7796610169491526,0.8846153846153846,0.8288288288288288,52.0
roblourens,0.8974358974358975,0.813953488372093,0.8536585365853658,86.0
rwoll,1.0,0.3333333333333333,0.5,3.0
rzhao271,1.0,0.6666666666666666,0.8,6.0
samvantran,0.0,0.0,0.0,3.0
sandy081,0.9565217391304348,1.0,0.9777777777777777,22.0
ulugbekna,0.7,1.0,0.8235294117647058,7.0
vijayupadya,1.0,1.0,1.0,6.0
zhichli,0.6,1.0,0.75,3.0
accuracy,0.8839336763865066,0.8839336763865066,0.8839336763865066,0.8839336763865066
macro avg,0.8284462037192549,0.8698073875433753,0.8200724259881121,1749.0
weighted avg,0.9079718362586694,0.8839336763865066,0.8885645278376736,1749.0
