,precision,recall,f1-score,support
DonJayamanne,1.0,1.0,1.0,353.0
IanMatthewHuff,1.0,1.0,1.0,3.0
Other,1.0,1.0,1.0,15.0
TylerLeonhardt,1.0,1.0,1.0,33.0
Tyriar,1.0,0.9803921568627451,0.9900990099009901,51.0
Yoyokrazy,1.0,0.9,0.9473684210526315,10.0
aeschli,1.0,1.0,1.0,24.0
aiday-mar,1.0,1.0,1.0,7.0
alexdima,1.0,1.0,1.0,3.0
alexr00,0.9166666666666666,1.0,0.9565217391304348,11.0
amunger,1.0,1.0,1.0,87.0
anthonykim1,1.0,0.9863013698630136,0.993103448275862,73.0
benibenj,1.0,1.0,1.0,17.0
benvillalobos,1.0,1.0,1.0,4.0
bhavyaus,1.0,1.0,1.0,9.0
bpasero,1.0,1.0,1.0,41.0
brettcannon,1.0,1.0,1.0,11.0
bryanchen-d,1.0,1.0,1.0,4.0
chrmarti,1.0,1.0,1.0,32.0
connor4312,1.0,1.0,1.0,51.0
cwebster-99,1.0,1.0,1.0,3.0
dbaeumer,1.0,0.8,0.8888888888888888,5.0
deepak1556,1.0,1.0,1.0,20.0
dileepyavan,1.0,1.0,1.0,2.0
dmitrivMS,1.0,1.0,1.0,5.0
eleanorjboyd,0.992,1.0,0.9959839357429718,124.0
hediet,1.0,1.0,1.0,12.0
isidorn,1.0,1.0,1.0,4.0
joaomoreno,1.0,1.0,1.0,4.0
joshspicer,1.0,1.0,1.0,16.0
jrieken,1.0,1.0,1.0,22.0
jruales,1.0,1.0,1.0,3.0
justschen,1.0,1.0,1.0,27.0
karrtikr,1.0,1.0,1.0,135.0
karthiknadig,1.0,1.0,1.0,126.0
kieferrm,1.0,1.0,1.0,2.0
kimadeline,1.0,1.0,1.0,10.0
kycutler,1.0,1.0,1.0,2.0
lramos15,1.0,0.9761904761904762,0.9879518072289156,42.0
lszomoru,1.0,1.0,1.0,30.0
luabud,1.0,1.0,1.0,11.0
meganrogge,1.0,0.9787234042553191,0.989247311827957,47.0
minsa110,1.0,1.0,1.0,5.0
mjbvz,1.0,1.0,1.0,23.0
mrleemurray,1.0,1.0,1.0,3.0
osortega,1.0,1.0,1.0,16.0
paulacamargo25,1.0,1.0,1.0,16.0
pwang347,1.0,1.0,1.0,7.0
rebornix,1.0,1.0,1.0,52.0
roblourens,1.0,1.0,1.0,86.0
rwoll,1.0,1.0,1.0,3.0
rzhao271,1.0,1.0,1.0,6.0
samvantran,1.0,1.0,1.0,3.0
sandy081,0.9565217391304348,1.0,0.9777777777777777,22.0
ulugbekna,0.7777777777777778,1.0,0.875,7.0
vijayupadya,1.0,1.0,1.0,6.0
zhichli,0.75,1.0,0.8571428571428571,3.0
accuracy,0.9965694682675815,0.9965694682675815,0.9965694682675815,0.9965694682675815
macro avg,0.9893502839223663,0.99336153345915,0.9905102666134962,1749.0
weighted avg,0.9970435997933947,0.9965694682675815,0.9966435770661468,1749.0
